experiment_id,timestamp,test_strategy,container_id,device_type,firmware_version,open_port,protocol,service,auth_required,test_id,test_type,payload_size,timeout,vulnerability_found,execution_time_ms,simulation_mode,simulation_iteration,automl_tool,baseline_strategy
7065f9d6-a5d1-4d9f-9da9-3ec4ab1f7a54,2026-03-12T00:09:14.562544,generated,172.20.0.12,telnet_gateway,busybox-1.31.1,23,telnet,telnet,True,telnet_default_creds,auth,0,0,1,0,deterministic,22,h2o,ml_guided
407e18d0-9be5-4e2a-8dd0-517a1e37bec4,2026-03-12T00:09:14.564573,generated,172.20.0.12,telnet_gateway,busybox-1.31.1,23,telnet,telnet,False,telnet_open,exposed_service,0,0,1,0,deterministic,22,h2o,ml_guided
04d11740-2d10-4228-8eaf-d51a241e30f8,2026-03-12T00:09:14.567106,generated,172.20.0.12,telnet_gateway,busybox-1.31.1,23,telnet,telnet,False,telnet_banner_leak,info_disclosure,0,0,1,0,deterministic,22,h2o,ml_guided
6c2bb0c6-20e8-4ab5-a7ab-36106c3742b0,2026-03-12T00:09:14.568881,generated,172.20.0.12,telnet_gateway,busybox-1.31.1,23,telnet,telnet,False,telnet_no_encryption,crypto,0,0,1,0,deterministic,22,h2o,ml_guided
5220dd12-f004-4b4a-8265-2c44e18c24fb,2026-03-12T00:09:27.224146,generated,172.20.0.1,target,unknown,1883,mqtt,mqtt,False,mqtt_open_access,auth,0,0,1,0,deterministic,22,h2o,ml_guided
b1b7de21-c0f6-47e8-9f22-deebcba7e7db,2026-03-12T00:09:27.226599,generated,172.20.0.1,target,unknown,1883,mqtt,mqtt,False,mqtt_anon_publish,auth,0,0,1,0,deterministic,22,h2o,ml_guided
96dde4ac-3240-4f17-843e-d88d677e86e4,2026-03-12T00:09:27.228674,generated,172.20.0.1,target,unknown,1883,mqtt,mqtt,False,mqtt_acl_bypass,authorization,0,0,1,0,deterministic,22,h2o,ml_guided
924d18cd-776c-4d75-88f2-4a0fd3ad25bb,2026-03-12T00:09:27.230590,generated,172.20.0.1,target,unknown,1883,mqtt,mqtt,False,mqtt_topic_enum,info_disclosure,0,0,1,0,deterministic,22,h2o,ml_guided
ea3b90e9-2c1b-4c29-a741-b511ad601667,2026-03-12T00:09:27.232411,generated,172.20.0.1,target,unknown,1883,mqtt,mqtt,False,mqtt_retained_messages,info_disclosure,0,0,1,0,deterministic,22,h2o,ml_guided
ab4bf9f6-63eb-4c3e-99ec-ddcac6b24eb8,2026-03-12T00:09:27.234461,generated,172.20.0.1,target,unknown,1883,mqtt,mqtt,False,mqtt_wildcard_sub,authorization,0,0,1,0,deterministic,22,h2o,ml_guided
b020f2a0-05fb-47e4-ab97-38320c9d8fd2,2026-03-12T00:09:27.236390,generated,172.20.0.1,target,unknown,1883,mqtt,mqtt,False,mqtt_sensitive_topics,info_disclosure,0,0,1,0,deterministic,22,h2o,ml_guided
0c19131e-b072-4947-8f3d-2e6c391bfe90,2026-03-12T00:09:41.111469,generated,172.20.0.16,mqtt_broker,mosquitto-2.0.15,1883,mqtt,mqtt,False,mqtt_open_access,auth,0,0,1,0,deterministic,22,h2o,ml_guided
3873ed51-6bf0-4653-91fa-b47af8c8f7bb,2026-03-12T00:09:41.113543,generated,172.20.0.16,mqtt_broker,mosquitto-2.0.15,1883,mqtt,mqtt,False,mqtt_anon_publish,auth,0,0,1,0,deterministic,22,h2o,ml_guided
aba7d8d5-afc1-4d67-a57b-6b53522b4b4f,2026-03-12T00:09:41.115287,generated,172.20.0.16,mqtt_broker,mosquitto-2.0.15,1883,mqtt,mqtt,False,mqtt_acl_bypass,authorization,0,0,1,0,deterministic,22,h2o,ml_guided
f66e8f78-f056-4081-94b4-fc696d687093,2026-03-12T00:09:41.117274,generated,172.20.0.16,mqtt_broker,mosquitto-2.0.15,1883,mqtt,mqtt,False,mqtt_topic_enum,info_disclosure,0,0,1,0,deterministic,22,h2o,ml_guided
c6645559-8196-4e8d-8d81-cb093d484ec2,2026-03-12T00:09:41.119083,generated,172.20.0.16,mqtt_broker,mosquitto-2.0.15,1883,mqtt,mqtt,False,mqtt_retained_messages,info_disclosure,0,0,1,0,deterministic,22,h2o,ml_guided
84e2cb24-3a9d-4832-991e-2753332fea37,2026-03-12T00:09:41.120840,generated,172.20.0.16,mqtt_broker,mosquitto-2.0.15,1883,mqtt,mqtt,False,mqtt_wildcard_sub,authorization,0,0,1,0,deterministic,22,h2o,ml_guided
12586e62-0088-44ab-a0a7-d6302fc3bb33,2026-03-12T00:09:41.122645,generated,172.20.0.16,mqtt_broker,mosquitto-2.0.15,1883,mqtt,mqtt,False,mqtt_sensitive_topics,info_disclosure,0,0,1,0,deterministic,22,h2o,ml_guided
c1bd0484-ba95-47fa-9b0f-a134bdb0b6a6,2026-03-12T00:09:41.904494,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,True,http_default_credentials,auth,0,0,1,0,deterministic,22,h2o,ml_guided
cb122fe1-e558-4125-9f04-f4ddba6cc8b0,2026-03-12T00:09:41.906725,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,True,http_default_creds_ext,auth,0,0,1,0,deterministic,22,h2o,ml_guided
003c135a-55d8-464d-9748-98efc89ef931,2026-03-12T00:09:41.908534,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,False,http_directory_listing,misconfiguration,0,0,0,0,deterministic,22,h2o,ml_guided
85ef2500-d38c-4d6c-b18a-cfc3c9d2a216,2026-03-12T00:09:41.910269,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,False,http_directory_traversal,path_traversal,0,0,1,0,deterministic,22,h2o,ml_guided
15bb7ac4-46f8-439a-8a85-d77fa9bd9154,2026-03-12T00:09:41.912091,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,False,http_dangerous_methods,misconfiguration,0,0,1,0,deterministic,22,h2o,ml_guided
975159a2-b3fb-423c-b10c-df2866251088,2026-03-12T00:09:41.914008,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,False,http_missing_sec_headers,hardening,0,0,1,0,deterministic,22,h2o,ml_guided
ed0f5cde-ff55-4982-b887-962fb8cee274,2026-03-12T00:09:41.915930,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,False,http_sensitive_files,info_disclosure,0,0,1,0,deterministic,22,h2o,ml_guided
1af3c027-ed95-4cd2-966f-913c6464e1d3,2026-03-12T00:09:41.917714,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,False,http_open_admin,exposed_interface,0,0,1,0,deterministic,22,h2o,ml_guided
bf30e914-c4c8-4837-9a90-ee7ec784b349,2026-03-12T00:09:41.919506,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,False,http_verbose_server,fingerprinting,0,0,1,0,deterministic,22,h2o,ml_guided
ba3f7e02-2f02-4f86-9b52-7d777cbd47a0,2026-03-12T00:09:41.921318,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,False,http_no_auth,auth,0,0,0,0,deterministic,22,h2o,ml_guided
caf90e81-5430-4b02-964f-3b9a966c35a8,2026-03-12T00:09:41.923058,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,False,http_sensitive_files_ext,info_disclosure,0,0,1,0,deterministic,22,h2o,ml_guided
edd46804-7ca2-436f-8b01-b630f80c6fac,2026-03-12T00:09:41.924758,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,False,http_open_admin_ext,exposed_interface,0,0,0,0,deterministic,22,h2o,ml_guided
9375c4ae-823d-43c2-a253-0ae9a23432a0,2026-03-12T00:09:41.926473,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,False,http_cors_misconfig,misconfiguration,0,0,0,0,deterministic,22,h2o,ml_guided
6b8c9d3f-ad92-4239-9f24-d890bde275fa,2026-03-12T00:09:41.928237,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,False,http_insecure_cookies,hardening,0,0,0,0,deterministic,22,h2o,ml_guided
066ec859-d563-419e-b7f5-70d6ab225423,2026-03-12T00:09:41.930020,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,False,http_trace_method,misconfiguration,0,0,1,0,deterministic,22,h2o,ml_guided
b93f4d55-1073-430e-8d06-67ff6618cd68,2026-03-12T00:09:41.931879,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,False,http_traversal_encoded,path_traversal,0,0,0,0,deterministic,22,h2o,ml_guided
61946be3-4c74-4834-8f31-1f01216ce5ef,2026-03-12T00:09:41.933856,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,False,http_sqli_probe,injection,0,0,0,0,deterministic,22,h2o,ml_guided
acc09bce-0150-4f8c-9ab4-d03bb420fc46,2026-03-12T00:09:42.570405,generated,172.20.0.14,web_admin_panel,flask-2.0.1,80,http,http,True,http_default_credentials,auth,0,0,1,0,deterministic,22,h2o,ml_guided
fbacee4b-4cdd-40e6-9dd1-d87390e82329,2026-03-12T00:09:42.572141,generated,172.20.0.14,web_admin_panel,flask-2.0.1,80,http,http,True,http_default_creds_ext,auth,0,0,1,0,deterministic,22,h2o,ml_guided
6411e231-822b-4cbf-8b7e-f9e96548a11f,2026-03-12T00:09:42.573591,generated,172.20.0.14,web_admin_panel,flask-2.0.1,80,http,http,False,http_directory_listing,misconfiguration,0,0,0,0,deterministic,22,h2o,ml_guided
b4389e77-20b5-4bd6-90be-0f8113fe409c,2026-03-12T00:09:42.574993,generated,172.20.0.14,web_admin_panel,flask-2.0.1,80,http,http,False,http_directory_traversal,path_traversal,0,0,0,0,deterministic,22,h2o,ml_guided
e13e43b9-7c31-41ac-8da5-35d8f8dd9da0,2026-03-12T00:09:42.576575,generated,172.20.0.14,web_admin_panel,flask-2.0.1,80,http,http,False,http_dangerous_methods,misconfiguration,0,0,0,0,deterministic,22,h2o,ml_guided
