experiment_id,timestamp,test_strategy,container_id,device_type,firmware_version,open_port,protocol,service,auth_required,test_id,test_type,payload_size,timeout,vulnerability_found,execution_time_ms,simulation_mode,simulation_iteration,automl_tool,baseline_strategy
5485d5c8-1d71-4ad9-9a9d-606056c18eb7,2026-03-12T17:53:17.188100,generated,172.20.0.1,target,unknown,502,modbus,modbus,False,modbus_read_register,auth,0,0,1,0,medium,64,h2o,ml_guided
35176e54-6dac-4ddd-99dd-3f336bac0566,2026-03-12T17:53:17.190147,generated,172.20.0.1,target,unknown,502,modbus,modbus,False,modbus_device_id,information_disclosure,0,0,0,0,medium,64,h2o,ml_guided
f6810e52-7edb-4e6d-9f33-568c40165cd9,2026-03-12T17:53:17.191817,generated,172.20.0.1,target,unknown,502,modbus,modbus,False,modbus_write_coil,auth,0,0,1,0,medium,64,h2o,ml_guided
7803e87e-25c5-4cc3-b2df-b6d932704ff9,2026-03-12T17:53:17.193540,generated,172.20.0.1,target,unknown,502,modbus,modbus,False,modbus_read_input_reg,auth,0,0,1,0,medium,64,h2o,ml_guided
adc08b49-7db6-4db4-ac26-37da7f91fff1,2026-03-12T17:53:17.195205,generated,172.20.0.1,target,unknown,502,modbus,modbus,False,modbus_read_discrete,auth,0,0,1,0,medium,64,h2o,ml_guided
a2fe1440-415a-4f00-b5b6-411cf4263451,2026-03-12T17:53:17.196735,generated,172.20.0.1,target,unknown,502,modbus,modbus,False,modbus_read_coils,auth,0,0,1,0,medium,64,h2o,ml_guided
a1da32e1-5d25-474e-ac68-27dbc77511c9,2026-03-12T17:53:17.198256,generated,172.20.0.1,target,unknown,502,modbus,modbus,False,modbus_write_register,auth,0,0,1,0,medium,64,h2o,ml_guided
b7701270-9975-4f56-b1c5-1d1f80883091,2026-03-12T17:53:23.935033,generated,172.20.0.12,telnet_gateway,busybox-1.31.1,23,telnet,telnet,True,telnet_default_creds,auth,0,0,1,0,medium,64,h2o,ml_guided
ff142bd9-96bb-4769-a51b-403bf74c685c,2026-03-12T17:53:23.937021,generated,172.20.0.12,telnet_gateway,busybox-1.31.1,23,telnet,telnet,False,telnet_open,exposed_service,0,0,1,0,medium,64,h2o,ml_guided
be676f9a-11ed-4099-865c-3bedfc411fae,2026-03-12T17:53:23.938700,generated,172.20.0.12,telnet_gateway,busybox-1.31.1,23,telnet,telnet,False,telnet_banner_leak,info_disclosure,0,0,1,0,medium,64,h2o,ml_guided
9ede8ead-5844-4a73-ac4f-56379f133c6b,2026-03-12T17:53:23.940342,generated,172.20.0.12,telnet_gateway,busybox-1.31.1,23,telnet,telnet,False,telnet_no_encryption,crypto,0,0,1,0,medium,64,h2o,ml_guided
9d5f86aa-7b45-4357-9a52-03393d041e37,2026-03-12T17:53:36.570014,generated,172.20.0.1,target,unknown,1883,mqtt,mqtt,False,mqtt_open_access,auth,0,0,1,0,medium,64,h2o,ml_guided
1cc12907-988a-4d92-97bd-aecea7ba4eff,2026-03-12T17:53:36.572068,generated,172.20.0.1,target,unknown,1883,mqtt,mqtt,False,mqtt_anon_publish,auth,0,0,1,0,medium,64,h2o,ml_guided
095ad288-e61e-43c4-a8d9-16f98c73c558,2026-03-12T17:53:36.573849,generated,172.20.0.1,target,unknown,1883,mqtt,mqtt,False,mqtt_acl_bypass,authorization,0,0,1,0,medium,64,h2o,ml_guided
1e56b87b-c03c-474e-9002-0aef8c575093,2026-03-12T17:53:36.575416,generated,172.20.0.1,target,unknown,1883,mqtt,mqtt,False,mqtt_topic_enum,info_disclosure,0,0,1,0,medium,64,h2o,ml_guided
cc8aaadc-702c-4de2-a7d8-c709272d8046,2026-03-12T17:53:36.577023,generated,172.20.0.1,target,unknown,1883,mqtt,mqtt,False,mqtt_retained_messages,info_disclosure,0,0,1,0,medium,64,h2o,ml_guided
b496f4e7-3dc3-4acd-abf9-5b7a790b733b,2026-03-12T17:53:36.578690,generated,172.20.0.1,target,unknown,1883,mqtt,mqtt,False,mqtt_wildcard_sub,authorization,0,0,1,0,medium,64,h2o,ml_guided
2b1dbc82-3866-4dd5-9a0d-5337b9281ee4,2026-03-12T17:53:36.580381,generated,172.20.0.1,target,unknown,1883,mqtt,mqtt,False,mqtt_sensitive_topics,info_disclosure,0,0,1,0,medium,64,h2o,ml_guided
d9c51c04-0e48-4558-9fa7-a818735a12dc,2026-03-12T17:53:37.165332,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,True,http_default_credentials,auth,0,0,1,0,medium,64,h2o,ml_guided
8772af10-9cb0-4cdf-8836-90276df00112,2026-03-12T17:53:37.167328,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,True,http_default_creds_ext,auth,0,0,0,0,medium,64,h2o,ml_guided
f128d80c-dd0b-48ca-a0a1-275baf1ab396,2026-03-12T17:53:37.168982,generated,172.20.0.11,http_server,nginx-1.19.0,80,http,http,False,http_directory_listing,misconfiguration,0,0,0,0,medium,64,h2o,ml_guided
