experiment_id,timestamp,test_strategy,container_id,device_type,firmware_version,open_port,protocol,service,auth_required,test_id,test_type,payload_size,timeout,vulnerability_found,execution_time_ms,simulation_mode,simulation_iteration,automl_tool,baseline_strategy
a213ab4e-fa18-4b59-b392-412462db5c72,2026-03-12T18:03:34.512312,generated,172.20.0.1,target,unknown,502,modbus,modbus,False,modbus_read_register,auth,0,0,1,0,medium,67,h2o,ml_guided
3feecacd-7c8c-455d-95cc-cb6ad1a35de0,2026-03-12T18:03:34.514436,generated,172.20.0.1,target,unknown,502,modbus,modbus,False,modbus_device_id,information_disclosure,0,0,0,0,medium,67,h2o,ml_guided
88700f83-5559-4275-908e-c08b9993e78d,2026-03-12T18:03:34.516205,generated,172.20.0.1,target,unknown,502,modbus,modbus,False,modbus_write_coil,auth,0,0,0,0,medium,67,h2o,ml_guided
8a69cf04-10f5-4215-8a8b-2b15c52eb68b,2026-03-12T18:03:34.517940,generated,172.20.0.1,target,unknown,502,modbus,modbus,False,modbus_read_input_reg,auth,0,0,1,0,medium,67,h2o,ml_guided
8f115d83-8322-4932-a0a1-ad86234d5172,2026-03-12T18:03:34.519564,generated,172.20.0.1,target,unknown,502,modbus,modbus,False,modbus_read_discrete,auth,0,0,1,0,medium,67,h2o,ml_guided
d66a5b2b-973f-4698-88ff-3085b1192f3b,2026-03-12T18:03:34.521171,generated,172.20.0.1,target,unknown,502,modbus,modbus,False,modbus_read_coils,auth,0,0,1,0,medium,67,h2o,ml_guided
fe8f6eeb-ae49-4f87-9e51-93db0fb4f493,2026-03-12T18:03:34.522733,generated,172.20.0.1,target,unknown,502,modbus,modbus,False,modbus_write_register,auth,0,0,1,0,medium,67,h2o,ml_guided
7b0164ec-af29-4689-bf51-4204edea7a70,2026-03-12T18:03:56.328043,generated,172.20.0.12,telnet_gateway,busybox-1.31.1,23,telnet,telnet,True,telnet_default_creds,auth,0,0,0,0,medium,67,h2o,ml_guided
ab430664-23f3-4dae-8926-2aac2cefcbde,2026-03-12T18:03:56.329890,generated,172.20.0.12,telnet_gateway,busybox-1.31.1,23,telnet,telnet,False,telnet_open,exposed_service,0,0,0,0,medium,67,h2o,ml_guided
012483d4-e4e8-46e0-9f6e-a1f56f402669,2026-03-12T18:03:56.331709,generated,172.20.0.12,telnet_gateway,busybox-1.31.1,23,telnet,telnet,False,telnet_banner_leak,info_disclosure,0,0,0,0,medium,67,h2o,ml_guided
9b3e0871-739f-493c-9e49-de7113a18022,2026-03-12T18:03:56.333273,generated,172.20.0.12,telnet_gateway,busybox-1.31.1,23,telnet,telnet,False,telnet_no_encryption,crypto,0,0,0,0,medium,67,h2o,ml_guided
b955e7ef-f663-4bc5-aba9-97261d3db4eb,2026-03-12T18:04:08.898170,generated,172.20.0.1,target,unknown,1883,mqtt,mqtt,False,mqtt_open_access,auth,0,0,1,0,medium,67,h2o,ml_guided
f9e78f15-bac4-48a5-8c8c-1b69362b5347,2026-03-12T18:04:08.900286,generated,172.20.0.1,target,unknown,1883,mqtt,mqtt,False,mqtt_anon_publish,auth,0,0,1,0,medium,67,h2o,ml_guided
cf85cf49-5270-4765-85ee-51468d8634ab,2026-03-12T18:04:08.901913,generated,172.20.0.1,target,unknown,1883,mqtt,mqtt,False,mqtt_acl_bypass,authorization,0,0,0,0,medium,67,h2o,ml_guided
f4e4e51c-8a2a-436e-a1f5-f02ec7becded,2026-03-12T18:04:08.903441,generated,172.20.0.1,target,unknown,1883,mqtt,mqtt,False,mqtt_topic_enum,info_disclosure,0,0,1,0,medium,67,h2o,ml_guided
